tarfile,netfile,Timestamp,Time_created,yaml,stamp,d
chukwa-release-0.1.2.tar.gz,chukwa_012,1383354169,2013-11-02-02:02,chukwa012,1243036800,23-May-09
chukwa-chukwa-0.8.0.tar.gz,chukwa_080,1466490254,2016-06-21-08:24,chukwa080,1466467200,21-Jun-16
chukwa-chukwa-0.7.0.tar.gz,chukwa_070,1450721027,2015-12-21-19:03,chukwa070,1450656000,21-Dec-15
chukwa-chukwa-0.5.0.tar.gz,chukwa_050,1383354169,2013-11-02-02:02,chukwa050,1326153600,10-Jan-12
chukwa-chukwa-0.4.0.tar.gz,chukwa_040,1383354169,2013-11-02-02:02,chukwa040,1271030400,12-Apr-10
chukwa-chukwa-0.2.0.tar.gz,chukwa_020,1421724816,2015-01-20-04:33,chukwa020,1246406400,1-Jul-09
cassandra-cassandra-0.3.0-final.tar.gz,Cassandra_030,1268522240,2010-03-14-00:17,cassandra030finalmetric,1247184000,7/10/2009
cassandra-cassandra-0.4.0-final.tar.gz,Cassandra_040,1268522240,2010-03-14-00:17,cassandra040finalmetric,1253232000,9/18/2009
cassandra-cassandra-0.4.1.tar.gz,Cassandra_041,1268522240,2010-03-14-00:17,cassandra041metric,1251849600,9/2/2009
cassandra-cassandra-0.4.2.tar.gz,Cassandra_042,1268522240,2010-03-14-00:17,cassandra042metric,1252540800,9/10/2009
cassandra-cassandra-0.5.0.tar.gz,Cassandra_050,1268522240,2010-03-14-00:17,cassandra050metric,1263772800,1/18/2010
cassandra-cassandra-0.5.1.tar.gz,Cassandra_051,1268522240,2010-03-14-00:17,cassandra051metric,1266883200,2/23/2010
cassandra-cassandra-0.6.0.tar.gz,Cassandra_060,1271036237,2010-04-12-03:37,cassandra060metric,1269734400,3/28/2010
cassandra-cassandra-0.6.1.tar.gz,Cassandra_061,1271339328,2010-04-15-15:48,cassandra061metric,1271289600,4/15/2010
cassandra-cassandra-0.6.2.tar.gz,Cassandra_062,1274733627,2010-05-24-22:40,cassandra062metric,1274659200,5/24/2010
cassandra-cassandra-0.6.3.tar.gz,Cassandra_063,1277505023,2010-06-26-00:30,cassandra063metric,1277510400,6/26/2010
cassandra-cassandra-0.6.4.tar.gz,Cassandra_064,1280267282,2010-07-27-23:48,cassandra064metric,1280188800,7/27/2010
